,id_candidato,nome_completo,data_nascimento,natural_de,provincia,n_bilhete,provincia_residencia,telemovel_principal,telemovel_alternativo,email,habilitacoes_academica,grau,instituicao,curso,ano_conclusao,media_final,area_candidatura,ano_experiencia_area,empresas_onde_trabalhou,cargo_na_empresa,disponibilidade,nivel_ingles,curriculum
0,41,Suzana Makaya Jacinto,1998-05-10,Angolana,Malanje,0047662501ZE02,Malanje,925212521,921252363,manuelvs1993@gmail.com,Ensino M. Concluído,Técnico Médio,Escola do Ensino Secundário nº 125236,Contabilidade,2015,14.0,Informática,3,Ndalauso,Funcionário de Limpeza,Tempo Parcial,Avançado,http://127.0.0.1:8000/media/curriculum/Ilda_Pedro_8SS7Bzi.pdf
1,42,Ilda Pedro,1998-05-10,Angolana,Malanje,0047662501ZE02,Malanje,925212521,921252363,manuelvs1993@gmail.com,Ensino M. Concluído,Técnico Médio,Escola do Ensino Secundário nº 125236,Contabilidade,2015,14.0,Informática,3,Ndalauso,Funcionário de Limpeza,Tempo Parcial,Avançado,http://127.0.0.1:8000/media/curriculum/Ilda_Pedro_uWxnIXI.pdf
2,43,Julião Pedro,1998-05-10,Angolana,Malanje,0047662501ZE02,Malanje,925212521,921252363,manuelvs1993@gmail.com,Ensino M. Concluído,Técnico Médio,Escola do Ensino Secundário nº 125236,Contabilidade,2015,14.0,Informática,3,Ndalauso,Funcionário de Limpeza,Tempo Parcial,Avançado,http://127.0.0.1:8000/media/curriculum/Ilda_Pedro_dNAUEC4.pdf
3,44,Josefina Mbuaki,1998-05-10,Angolana,Malanje,0047662501ZE02,Malanje,925212521,921252363,manuelvs1993@gmail.com,Ensino M. Concluído,Técnico Médio,Escola do Ensino Secundário nº 125236,Contabilidade,2015,14.0,Informática,3,Ndalauso,Funcionário de Limpeza,Tempo Parcial,Avançado,http://127.0.0.1:8000/media/curriculum/CV_DcP_2020_sCXCNtG.pdf
4,45,Simão Gonçalves da Costa,1998-05-10,Angolana,Malanje,0047662501ZE02,Malanje,925212521,921252363,manuelvs1993@gmail.com,Ensino M. Concluído,Técnico Médio,Escola do Ensino Secundário nº 125236,Contabilidade,2015,14.0,Informática,3,Ndalauso,Funcionário de Limpeza,Tempo Parcial,Avançado,http://127.0.0.1:8000/media/curriculum/CV_Sim%C3%A3o_da_Costa_Bd85aqw.pdf
5,46,Vânia Ventura,1998-05-10,Angolana,Malanje,0047662501ZE02,Malanje,925212521,921252363,manuelvs1993@gmail.com,Ensino M. Concluído,Técnico Médio,Escola do Ensino Secundário nº 125236,Contabilidade,2015,14.0,Informática,3,Ndalauso,Funcionário de Limpeza,Tempo Parcial,Avançado,http://127.0.0.1:8000/media/curriculum/Vania_Ventura_RxryQeI.pdf
6,47,Chiminha da Costa Pedro,1998-05-10,Angolana,Malanje,0047662501ZE02,Malanje,925212521,921252363,manuelvs1993@gmail.com,Ensino M. Concluído,Técnico Médio,Escola do Ensino Secundário nº 125236,Contabilidade,2015,14.0,Informática,3,Ndalauso,Funcionário de Limpeza,Tempo Parcial,Avançado,http://127.0.0.1:8000/media/curriculum/Curriculum-Ilda_Pedro_NYZQOgU.pdf
7,48,Marcos Mariano,1998-05-10,Angolana,Zaire,0047662501ZE02,Luanda,925212521,921252363,ilda.pedro1993@gmail.com,Ensino M. Concluído,Técnico Médio,Escola do Ensino Secundário nº 125236,Contabilidade,2015,13.0,Informática,5,Marketing Company,Desenvolvedor de Website,Tempo Parcial,Intermédio,http://127.0.0.1:8000/media/curriculum/Vania_Ventura_rhzrRyN.pdf
8,49,Mateus Lima,1998-05-10,Angolana,Malanje,0047662501ZE02,Malanje,923632325,921252363,mateuslima1234@gmail.com,Frequência Universitária,Bacharelano em Contabilidade,Escola do Ensino Secundário nº 125236,Contabilidade,2014,13.0,Informática,3,Ndalauso,Desenvolvedor de Website,Tempo Parcial,Intermédio,http://127.0.0.1:8000/media/curriculum/CV_DcP_2020_ow9srQk.pdf
9,50,Mateus Lima,1998-05-10,Angolana,Malanje,0047662501ZE02,Malanje,923632325,921252363,mateuslima1234@gmail.com,Frequência Universitária,Bacharelano em Contabilidade,Escola do Ensino Secundário nº 125236,Contabilidade,2014,13.0,Informática,3,Ndalauso,Desenvolvedor de Website,Tempo Parcial,Intermédio,http://127.0.0.1:8000/media/curriculum/CV_DcP_2020_PKfQDwq.pdf
